icao24,origin_country,velocity,on_ground
39de4e,France,228.92,False
e8027e,Chile,72.36,False
801638,India,248.57,False
39de4b,France,157.64,False
a53edd,United States,145.85,False
488284,Poland,56.19,False
ab6fdd,United States,191.04,False
801645,India,99.71,False
801643,India,133.93,False
386e7d,France,67.33,False
39de51,France,240.51,False
80162e,India,247.83,False
39de50,France,233.67,False
39de55,France,64.42,False
39de54,France,190.93,False
a2cbbf,United States,157.23,False
a09294,United States,51.24,False
80163c,India,4.89,True
a5820c,United States,191.49,False
ad5609,United States,89.39,False
acdfa6,United States,216.23,False
a3b88e,United States,144.12,False
80163f,India,100.32,False
00b22b,South Africa,114.86,False
00b22f,South Africa,148.56,False
acdfa3,United States,226.5,False
a90eb3,United States,71.77,False
a4c54a,United States,39.24,False
80160a,India,237.89,False
80160b,India,221.5,False
801619,India,138.7,False
abacb6,United States,242.98,False
801621,India,202.49,False
ab032d,United States,38.57,False
80160f,India,36.58,False
ab032f,United States,53.48,False
aaf656,United States,226.62,False
a60561,United States,43.73,False
a5e550,United States,50.67,False
3ffc17,Germany,30.05,False
ad5622,United States,239.02,False
ad5628,United States,56.59,False
a22248,United States,17.74,False
488252,Poland,204.33,False
a1025a,United States,286.98,False
39de48,France,222.93,False
39de47,France,64.97,False
a2ded8,United States,216.34,False
a7cea1,United States,77.15,False
51113f,Estonia,138.45,False
39de49,France,80.77,False
801632,India,192.58,False
a0e249,United States,275.78,False
a34215,United States,256.29,False
acdfc2,United States,87.91,False
39de42,France,212.29,False
a2355d,United States,8.23,True
44028c,Austria,188.57,False
adeca5,United States,0.0,True
ae6309,United States,62.93,False
ab0356,United States,231.29,False
511188,Estonia,231.85,False
ae6308,United States,57.01,False
abacd2,United States,242.13,False
a4d81d,United States,62.76,False
4acb01,Sweden,221.13,False
4acb03,Sweden,166.34,False
48d210,Poland,57.8,False
4acb02,Sweden,0.0,True
4acb04,Sweden,125.51,False
ad564b,United States,189.71,False
801689,India,225.51,False
e80252,Chile,85.59,False
4bc8c6,Turkey,229.41,False
4bc8c7,Turkey,214.11,False
4bc8c5,Turkey,233.37,False
4bc8c2,Turkey,216.81,False
3edc07,Germany,46.07,False
4bc8c3,Turkey,224.87,False
801680,India,0.06,True
80167e,India,229.23,False
a2229c,United States,259.85,False
470bfa,Hungary,67.16,False
511171,Estonia,191.77,False
3c4c63,Germany,229.05,False
801694,India,156.41,True
adffaa,United States,236.97,False
801698,India,215.66,False
841a6c,Japan,128.07,False
4bc8d6,Turkey,221.67,False
4bc8d3,Turkey,247.89,False
4bc8d4,Turkey,216.06,False
a4d838,United States,235.52,False
ad4341,United States,56.14,False
80164b,India,272.5,False
a963f1,United States,35.83,False
4031ce,United Kingdom,41.36,False
80164e,India,220.59,False
a35592,United States,9.26,True
a4d83c,United States,44.92,False
471efa,Hungary,73.92,False
471efb,Hungary,253.19,False
47b217,Norway,224.4,False
acdffc,United States,289.94,False
471efe,Hungary,215.0,False
471efd,Hungary,213.28,False
a963ea,United States,222.15,False
a22273,United States,61.64,False
00b231,South Africa,197.54,False
a59529,United States,33.66,False
51118a,Estonia,222.25,False
3d23c1,Germany,39.7,False
adecb6,United States,150.09,False
aae378,United States,54.17,False
e8026c,Chile,195.27,False
801669,India,211.44,False
a3689e,United States,267.16,False
a3556f,United States,134.79,False
ac1042,United States,242.56,False
488206,Poland,160.55,False
801672,India,254.82,False
