origin_country,total_flights,avg_velocity,on_ground
Algeria,12,207.65583333333333,1
Antigua and Barbuda,1,109.32,0
Argentina,18,199.01611111111112,0
Armenia,2,222.505,0
Australia,40,112.8415,15
Austria,115,164.28278260869567,9
Azerbaijan,3,168.64,0
Bahrain,5,266.948,0
Bangladesh,11,128.18,2
Belgium,53,141.441320754717,6
Botswana,1,123.25,0
Brazil,141,169.3358865248227,5
Brunei Darussalam,1,226.76,0
Bulgaria,7,182.67285714285714,1
Cambodia,1,185.53,0
Canada,297,153.55814814814815,73
Chile,27,164.26037037037037,4
China,232,190.46616379310345,19
Colombia,18,133.785,2
Croatia,10,183.276,0
Cuba,1,56.67,0
Cyprus,1,226.01,0
Czech Republic,56,96.69732142857143,5
Denmark,39,119.0402564102564,0
Dominican Republic,8,189.1,0
Egypt,35,196.87714285714284,2
Estonia,6,96.42666666666668,3
Ethiopia,8,162.71125,2
Finland,30,92.702,9
France,181,153.64331491712707,7
Georgia,5,75.94,3
Germany,449,121.92138392857143,39
Greece,41,155.1778048780488,5
Guatemala,7,57.99142857142857,2
Hungary,44,192.31022727272727,2
Iceland,19,216.7336842105263,0
India,187,163.3306951871658,22
Indonesia,9,214.10000000000002,0
Ireland,276,182.18894927536232,25
Israel,21,215.8385714285714,1
Italy,33,115.29818181818182,1
Japan,107,153.9218691588785,23
Jordan,15,191.62800000000001,1
Kazakhstan,3,233.51,0
Kenya,3,234.66333333333333,0
Kingdom of the Netherlands,122,136.2227049180328,11
Kuwait,3,150.59,0
Latvia,18,175.73555555555555,2
Lebanon,4,203.235,0
Libyan Arab Jamahiriya,1,173.12,0
Lithuania,6,175.97333333333336,1
Luxembourg,29,184.64724137931032,2
Malaysia,50,199.35479999999998,1
Malta,169,194.40798816568045,8
Mexico,65,203.90215384615385,2
Montenegro,2,176.66,0
Morocco,29,225.33275862068965,0
Myanmar,2,237.47500000000002,0
Nepal,1,87.32,0
New Zealand,1,7.2,1
Norway,43,151.0293023255814,4
Oman,3,160.21333333333334,0
Pakistan,1,245.51,0
Panama,18,202.57666666666668,1
Peru,1,210.2,0
Philippines,37,167.70837837837837,6
Poland,98,159.80051020408163,3
Portugal,71,184.8580281690141,3
Qatar,15,166.468,0
Republic of Korea,81,198.65086419753086,6
Republic of Moldova,3,255.73,0
Romania,15,160.59866666666667,1
Russian Federation,33,196.92909090909092,0
Rwanda,1,236.07,0
San Marino,8,174.57125,0
Saudi Arabia,27,236.11555555555555,0
Serbia,13,162.7076923076923,0
Singapore,31,209.65322580645162,1
Slovakia,7,91.16,0
Slovenia,4,83.27,0
South Africa,29,183.83137931034483,0
Spain,183,163.88554945054946,11
Sri Lanka,4,185.4125,0
Sweden,85,168.25788235294118,7
Switzerland,107,142.59158878504672,9
Taiwan,63,201.53428571428572,7
Thailand,53,175.03226415094338,2
Trinidad and Tobago,1,229.45,0
Tunisia,10,204.89299999999997,0
Turkey,261,202.937816091954,16
Turkmenistan,1,248.84,0
Ukraine,3,191.87,0
United Arab Emirates,47,195.98659574468084,4
United Kingdom,481,144.5770893970894,29
United States,4391,146.88953498974243,411
Uzbekistan,5,135.08800000000002,0
Venezuela,1,219.33,0
Viet Nam,16,184.391875,3
